2459479.4172383142 1.0007879901 0.0002321201 204.0225307027 29.3097092496 30.5407125535 0.0000326374
2459479.4404471549 1.0003881093 0.0002290381  71.2121358920 28.6884619512 30.4971066666 0.0000094670
2459479.4407139220 1.0001050982 0.0002287332  69.9533169141 28.3894091681 29.8438937810 0.0000080242
2459479.4408473112 0.9999940561 0.0002286010  69.3289422056 28.9136445932 30.1227511409 0.0000072638
2459479.4409806947 0.9996374050 0.0002284513  68.7078785605 28.3608988498 30.0676966154 0.0000068452
2459479.4411140783 0.9999825353 0.0002285005  68.0900353175 28.0691575329 30.7210608294 0.0000061940
2459479.4412474618 1.0001000250 0.0002283574  67.4754024991 28.8466397599 31.3756774783 0.0000056656
2459479.4413808454 0.9999694668 0.0002282087  66.8638044706 29.1485978935 31.4099053200 0.0000044924
2459479.4415142289 1.0000472537 0.0002280611  66.2552558038 28.9722900956 31.2850228756 0.0000034062
2459479.4416476116 0.9998658561 0.0002280107  65.6496614956 29.2999965739 31.0877819618 0.0000033251
2459479.4417809951 1.0001852817 0.0002280515  65.0470019056 29.1680820753 30.7109053257 0.0000032735
2459479.4419143787 1.0000818506 0.0002280240  64.4470782226 28.8862387593 30.5603299647 0.0000024994
2459479.4420477678 1.0002833350 0.0002279372  63.8500721966 28.8011726519 30.4811691049 0.0000019169
2459479.4421811514 1.0000891964 0.0002277712  63.2556127750 29.0399184059 30.6626689050 0.0000019885
2459479.4423145349 0.9995430204 0.0002278700  62.6638405356 29.3155264961 31.0296289051 0.0000019154
2459479.4424479185 0.9999066637 0.0002279111  62.0746403265 29.4475284528 31.3014955504 0.0000019110
2459479.4425813020 0.9999647798 0.0002278295  61.4878675589 29.6807917812 31.3043578667 0.0000018298
2459479.4427146856 1.0002106858 0.0002278280  60.9036181558 29.2327405530 30.8736052322 0.0000017626
2459479.4428480747 0.9997634418 0.0002276963  60.3216198908 29.3246670446 31.1843123725 0.0000017967
2459479.4429814583 0.9997025042 0.0002277470  59.7419665649 27.9671207509 30.6232987010 0.0000017224
2459479.4431148418 0.9996696590 0.0002278508  59.1645331653 29.3778204601 31.2715498900 0.0000017290
2459479.4432482249 0.9997329122 0.0002278836  58.5892646483 29.4185080140 31.3895961098 0.0000017044
2459479.4433816085 1.0000337053 0.0002277784  58.0160969442 29.0266132540 31.2136690387 0.0000017828
2459479.4435149920 0.9998760589 0.0002277888  57.4449172665 29.4119894201 30.8954192761 0.0000017975
2459479.4436483756 0.9998549839 0.0002277631  56.8757098838 29.7424162527 30.6415027117 0.0000017120
2459479.4437817591 1.0003318360 0.0002277285  56.3083615315 29.3119311661 31.0891558784 0.0000016994
2459479.4439151427 0.9997966614 0.0002277885  55.7427860761 29.3457355707 31.2066231655 0.0000017469
2459479.4440485258 1.0000937019 0.0002279699  55.1790508168 29.4602023102 31.2127804883 0.0000017292
2459479.4441819093 0.9998391434 0.0002278989  54.6169530564 29.1790728522 31.4785631572 0.0000016756
2459479.4443152929 0.9999193321 0.0002278017  54.0564701659 29.6300807348 31.0564268077 0.0000017236
2459479.4444486825 1.0006786579 0.0002279478  53.4975123738 29.1486177335 30.9945309086 0.0000016631
2459479.4445820660 1.0003866220 0.0002279924  52.9400609297 29.4389017071 30.6029496094 0.0000017349
2459479.4447154496 1.0002362439 0.0002278418  52.3840259844 27.9912845012 31.7747803629 0.0000016199
2459479.4448488327 0.9998276959 0.0002278865  51.8293413803 27.9144101667 30.4832750236 0.0000016706
2459479.4449822162 1.0002608855 0.0002277297  51.2759410508 29.4652808333 30.9703916823 0.0000017008
2459479.4451155998 1.0002265410 0.0002278377  50.7237588384 29.5659241535 31.0172833146 0.0000016443
2459479.4452489889 1.0000368754 0.0002277923  50.1727052545 29.6571802802 31.3874713671 0.0000017264
2459479.4453823725 1.0001692523 0.0002277606  49.6227609390 29.2611078042 31.0141565260 0.0000016949
